lcl|NC_035780.1_prot_XP_022327646.1_1	sp|Q8IV45|UN5CL_HUMAN	33.403	479	270	8	151	626	78	510	4.80e-77	258
lcl|NC_035780.1_prot_XP_022305632.1_4	sp|P39021|MEOX2_XENLA	55.118	127	57	0	104	230	115	241	5.84e-38	138
lcl|NC_035780.1_prot_XP_022317406.1_5	sp|Q96AT9|RPE_HUMAN	66.667	219	72	1	10	227	5	223	3.21e-106	308
lcl|NC_035780.1_prot_XP_022295750.1_9	sp|Q94K49|ALP1_ARATH	28.873	284	174	9	10	274	85	359	1.02e-27	114
lcl|NC_035780.1_prot_XP_022307863.1_13	sp|Q95JD5|ST1B1_CANLF	34.007	297	157	8	51	328	19	295	4.83e-40	145
lcl|NC_035780.1_prot_XP_022301465.1_14	sp|Q9D939|ST1C2_MOUSE	33.898	295	165	12	33	314	18	295	2.77e-43	153
lcl|NC_035780.1_prot_XP_022301545.1_15	sp|Q9D939|ST1C2_MOUSE	33.898	295	165	12	23	304	18	295	2.82e-43	153
lcl|NC_035780.1_prot_XP_022301617.1_16	sp|Q9D939|ST1C2_MOUSE	33.898	295	165	12	23	304	18	295	2.82e-43	153
lcl|NC_035780.1_prot_XP_022301726.1_17	sp|O43704|ST1B1_HUMAN	33.681	288	169	8	27	303	19	295	4.17e-39	142
lcl|NC_035780.1_prot_XP_022301276.1_18	sp|A0A2K5X3B6|ST1C4_MACFA	36.232	276	156	9	34	300	37	301	2.08e-48	166
lcl|NC_035780.1_prot_XP_022289422.1_24	sp|Q5R7D0|COX18_PONAB	33.607	244	157	2	92	335	75	313	1.56e-39	145
lcl|NC_035780.1_prot_XP_022289413.1_27	sp|Q5R7J9|IF4G2_PONAB	46.941	801	368	15	1	781	131	894	0.0	672
lcl|NC_035780.1_prot_XP_022337178.1_28	sp|Q15256|PTPRR_HUMAN	39.572	561	298	13	113	650	110	652	2.52e-118	370
lcl|NC_035780.1_prot_XP_022307508.1_29	sp|Q5MNV8|FBX47_HUMAN	34.978	446	273	8	18	454	15	452	5.88e-86	273
